"Portions and Weights
2017-2018 Food and Nutrient Database for Dietary Studies - At A Glance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",,,,,,,,
Food code,Main food description,Subcode,Subcode description,WWEIA Category number,WWEIA Category description,Seq num,Portion description,Portion weight (g)
11433000,"Yogurt, nonfat milk, fruit",,,1820,"Yogurt, regular",8,Quantity not specified,170
11433990,"Yogurt, Greek, NS as to type of milk, fruit",,,1822,"Yogurt, Greek",1,1 5.3 oz container,150
11433990,"Yogurt, Greek, NS as to type of milk, fruit",,,1822,"Yogurt, Greek",2,1 6 oz container,170
11433990,"Yogurt, Greek, NS as to type of milk, fruit",,,1822,"Yogurt, Greek",3,"1 container, NFS",150
11433990,"Yogurt, Greek, NS as to type of milk, fruit",,,1822,"Yogurt, Greek",4,1 cup,245
11433990,"Yogurt, Greek, NS as to type of milk, fruit",,,1822,"Yogurt, Greek",5,Quantity not specified,150
11434000,"Yogurt, Greek, whole milk, fruit",,,1822,"Yogurt, Greek",1,1 5.3 oz container,150
11434000,"Yogurt, Greek, whole milk, fruit",,,1822,"Yogurt, Greek",2,1 6 oz container,170
11434000,"Yogurt, Greek, whole milk, fruit",,,1822,"Yogurt, Greek",3,"1 container, NFS",150
11434000,"Yogurt, Greek, whole milk, fruit",,,1822,"Yogurt, Greek",4,1 cup,245
11434000,"Yogurt, Greek, whole milk, fruit",,,1822,"Yogurt, Greek",6,Quantity not specified,150
11434010,"Yogurt, Greek, low fat milk, fruit",,,1822,"Yogurt, Greek",1,1 tube,57
11434010,"Yogurt, Greek, low fat milk, fruit",,,1822,"Yogurt, Greek",2,1 5.3 oz container,150
11434010,"Yogurt, Greek, low fat milk, fruit",,,1822,"Yogurt, Greek",3,1 6 oz container,170
11434010,"Yogurt, Greek, low fat milk, fruit",,,1822,"Yogurt, Greek",4,"1 container, NFS",150
11434010,"Yogurt, Greek, low fat milk, fruit",,,1822,"Yogurt, Greek",5,1 cup,245
11434010,"Yogurt, Greek, low fat milk, fruit",,,1822,"Yogurt, Greek",7,Quantity not specified,150
11434020,"Yogurt, Greek, nonfat milk, fruit",,,1822,"Yogurt, Greek",1,1 5.3 oz container,150
11434020,"Yogurt, Greek, nonfat milk, fruit",,,1822,"Yogurt, Greek",2,1 6 oz container,170
11434020,"Yogurt, Greek, nonfat milk, fruit",,,1822,"Yogurt, Greek",3,"1 container, NFS",150
11434020,"Yogurt, Greek, nonfat milk, fruit",,,1822,"Yogurt, Greek",4,1 cup,245
11434020,"Yogurt, Greek, nonfat milk, fruit",,,1822,"Yogurt, Greek",6,Quantity not specified,150
11434090,"Yogurt, NS as to type of milk, flavors other than fruit",,,1820,"Yogurt, regular",1,1 4 oz container,113
11434090,"Yogurt, NS as to type of milk, flavors other than fruit",,,1820,"Yogurt, regular",2,1 6 oz container,170
11434090,"Yogurt, NS as to type of milk, flavors other than fruit",,,1820,"Yogurt, regular",3,"1 container, NFS",170
11434090,"Yogurt, NS as to type of milk, flavors other than fruit",,,1820,"Yogurt, regular",4,1 cup,245
11434090,"Yogurt, NS as to type of milk, flavors other than fruit",,,1820,"Yogurt, regular",5,Quantity not specified,170
11434100,"Yogurt, whole milk, flavors other than fruit",,,1820,"Yogurt, regular",1,1 4 oz container,113
11434100,"Yogurt, whole milk, flavors other than fruit",,,1820,"Yogurt, regular",2,1 6 oz container,170
11434100,"Yogurt, whole milk, flavors other than fruit",,,1820,"Yogurt, regular",3,"1 container, NFS",170
11434100,"Yogurt, whole milk, flavors other than fruit",,,1820,"Yogurt, regular",4,1 cup,245
11434100,"Yogurt, whole milk, flavors other than fruit",,,1820,"Yogurt, regular",5,Quantity not specified,170
11434200,"Yogurt, low fat milk, flavors other than fruit",,,1820,"Yogurt, regular",1,1 tube,64
11434200,"Yogurt, low fat milk, flavors other than fruit",,,1820,"Yogurt, regular",2,1 4 oz container,113
11434200,"Yogurt, low fat milk, flavors other than fruit",,,1820,"Yogurt, regular",3,1 6 oz container,170
11434200,"Yogurt, low fat milk, flavors other than fruit",,,1820,"Yogurt, regular",4,"1 container, NFS",170
11434200,"Yogurt, low fat milk, flavors other than fruit",,,1820,"Yogurt, regular",5,1 cup,245
11434200,"Yogurt, low fat milk, flavors other than fruit",,,1820,"Yogurt, regular",6,Quantity not specified,170
11434300,"Yogurt, nonfat milk, flavors other than fruit",,,1820,"Yogurt, regular",1,1 4 oz container,113
11434300,"Yogurt, nonfat milk, flavors other than fruit",,,1820,"Yogurt, regular",2,1 6 oz container,170
11434300,"Yogurt, nonfat milk, flavors other than fruit",,,1820,"Yogurt, regular",3,"1 container, NFS",170
11434300,"Yogurt, nonfat milk, flavors other than fruit",,,1820,"Yogurt, regular",4,1 cup,245
11434300,"Yogurt, nonfat milk, flavors other than fruit",,,1820,"Yogurt, regular",5,Quantity not specified,170
11435000,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",,,1822,"Yogurt, Greek",1,1 5.3 oz container,150
11435000,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",,,1822,"Yogurt, Greek",2,1 6 oz container,170
11435000,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",,,1822,"Yogurt, Greek",3,"1 container, NFS",150
11435000,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",,,1822,"Yogurt, Greek",4,1 cup,245
11435000,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",,,1822,"Yogurt, Greek",5,Quantity not specified,150
11435010,"Yogurt, Greek, whole milk, flavors other than fruit",,,1822,"Yogurt, Greek",1,1 5.3 oz container,150
11435010,"Yogurt, Greek, whole milk, flavors other than fruit",,,1822,"Yogurt, Greek",2,1 6 oz container,170
11435010,"Yogurt, Greek, whole milk, flavors other than fruit",,,1822,"Yogurt, Greek",3,"1 container, NFS",150
11435010,"Yogurt, Greek, whole milk, flavors other than fruit",,,1822,"Yogurt, Greek",4,1 cup,245
11435010,"Yogurt, Greek, whole milk, flavors other than fruit",,,1822,"Yogurt, Greek",5,Quantity not specified,150
11435020,"Yogurt, Greek, low fat milk, flavors other than fruit",,,1822,"Yogurt, Greek",1,1 tube,57
11435020,"Yogurt, Greek, low fat milk, flavors other than fruit",,,1822,"Yogurt, Greek",2,1 5.3 oz container,150
11435020,"Yogurt, Greek, low fat milk, flavors other than fruit",,,1822,"Yogurt, Greek",3,1 6 oz container,170
11435020,"Yogurt, Greek, low fat milk, flavors other than fruit",,,1822,"Yogurt, Greek",4,"1 container, NFS",150
11435020,"Yogurt, Greek, low fat milk, flavors other than fruit",,,1822,"Yogurt, Greek",5,1 cup,245
11435020,"Yogurt, Greek, low fat milk, flavors other than fruit",,,1822,"Yogurt, Greek",6,Quantity not specified,150
11435030,"Yogurt, Greek, nonfat milk, flavors other than fruit",,,1822,"Yogurt, Greek",1,1 5.3 oz container,150
11435030,"Yogurt, Greek, nonfat milk, flavors other than fruit",,,1822,"Yogurt, Greek",2,1 6 oz container,170
11435030,"Yogurt, Greek, nonfat milk, flavors other than fruit",,,1822,"Yogurt, Greek",3,"1 container, NFS",150
11435030,"Yogurt, Greek, nonfat milk, flavors other than fruit",,,1822,"Yogurt, Greek",4,1 cup,245
11435030,"Yogurt, Greek, nonfat milk, flavors other than fruit",,,1822,"Yogurt, Greek",5,Quantity not specified,150
11435100,"Yogurt, Greek, with oats",,,1822,"Yogurt, Greek",6,1 5.3 oz container,150
11435100,"Yogurt, Greek, with oats",,,1822,"Yogurt, Greek",7,"1 container, NFS",150
11435100,"Yogurt, Greek, with oats",,,1822,"Yogurt, Greek",8,1 cup,245
11435100,"Yogurt, Greek, with oats",,,1822,"Yogurt, Greek",9,Quantity not specified,150
11436000,"Yogurt, liquid",,,1820,"Yogurt, regular",1,1 bottle,93
11436000,"Yogurt, liquid",,,1820,"Yogurt, regular",2,1 cup,245
11436000,"Yogurt, liquid",,,1820,"Yogurt, regular",3,Quantity not specified,93
11440010,"Chipotle dip, yogurt based",,,8412,"Dips, gravies, other sauces",1,1 tablespoon,15
11440010,"Chipotle dip, yogurt based",,,8412,"Dips, gravies, other sauces",2,1 individual container,70
11440010,"Chipotle dip, yogurt based",,,8412,"Dips, gravies, other sauces",3,Quantity not specified,60
11440020,"Dill dip, yogurt based",,,8412,"Dips, gravies, other sauces",1,1 tablespoon,15
11440020,"Dill dip, yogurt based",,,8412,"Dips, gravies, other sauces",2,1 individual container,70
11440020,"Dill dip, yogurt based",,,8412,"Dips, gravies, other sauces",3,Quantity not specified,60
11440030,"Onion dip, yogurt based",,,8412,"Dips, gravies, other sauces",1,1 tablespoon,15
11440030,"Onion dip, yogurt based",,,8412,"Dips, gravies, other sauces",2,1 individual container,70
11440030,"Onion dip, yogurt based",,,8412,"Dips, gravies, other sauces",3,Quantity not specified,60
11440040,"Ranch dip, yogurt based",,,8412,"Dips, gravies, other sauces",1,1 tablespoon,15
11440040,"Ranch dip, yogurt based",,,8412,"Dips, gravies, other sauces",2,1 individual container,70
11440040,"Ranch dip, yogurt based",,,8412,"Dips, gravies, other sauces",3,Quantity not specified,60
11440050,"Spinach dip, yogurt based",,,8412,"Dips, gravies, other sauces",1,1 tablespoon,15
11440050,"Spinach dip, yogurt based",,,8412,"Dips, gravies, other sauces",2,1 individual container,70
11440050,"Spinach dip, yogurt based",,,8412,"Dips, gravies, other sauces",3,Quantity not specified,60
11440060,Tzatziki dip,,,8412,"Dips, gravies, other sauces",1,1 tablespoon,15
11440060,Tzatziki dip,,,8412,"Dips, gravies, other sauces",2,1 individual container,70
11440060,Tzatziki dip,,,8412,"Dips, gravies, other sauces",3,Quantity not specified,60
11440070,"Vegetable dip, yogurt based",,,8412,"Dips, gravies, other sauces",1,1 tablespoon,15
11440070,"Vegetable dip, yogurt based",,,8412,"Dips, gravies, other sauces",2,1 individual container,70
11440070,"Vegetable dip, yogurt based",,,8412,"Dips, gravies, other sauces",3,Quantity not specified,60
11446000,"Yogurt parfait, low fat, with fruit",,,1820,"Yogurt, regular",1,1 McDonald's parfait,150
11446000,"Yogurt parfait, low fat, with fruit",,,1820,"Yogurt, regular",2,Quantity not specified,150
11459990,"Frozen yogurt, NFS",,,5802,Ice cream and frozen dairy desserts,1,1 cup,175
11459990,"Frozen yogurt, NFS",,,5802,Ice cream and frozen dairy desserts,2,1 scoop,160
11459990,"Frozen yogurt, NFS",,,5802,Ice cream and frozen dairy desserts,3,1 small ice cream cup,160
11459990,"Frozen yogurt, NFS",,,5802,Ice cream and frozen dairy desserts,4,1 medium ice cream cup,320
11459990,"Frozen yogurt, NFS",,,5802,Ice cream and frozen dairy desserts,5,1 large ice cream cup,480
11459990,"Frozen yogurt, NFS",,,5802,Ice cream and frozen dairy desserts,6,Quantity not specified,175
11460000,"Frozen yogurt, vanilla",,,5802,Ice cream and frozen dairy desserts,1,1 cup,175
11460000,"Frozen yogurt, vanilla",,,5802,Ice cream and frozen dairy desserts,2,1 scoop,160
11460000,"Frozen yogurt, vanilla",,,5802,Ice cream and frozen dairy desserts,3,1 small ice cream cup,160
11460000,"Frozen yogurt, vanilla",,,5802,Ice cream and frozen dairy desserts,4,1 medium ice cream cup,320
11460000,"Frozen yogurt, vanilla",,,5802,Ice cream and frozen dairy desserts,5,1 large ice cream cup,480
11460000,"Frozen yogurt, vanilla",,,5802,Ice cream and frozen dairy desserts,6,Quantity not specified,175
11460100,"Frozen yogurt, chocolate",,,5802,Ice cream and frozen dairy desserts,1,1 cup,175
11460100,"Frozen yogurt, chocolate",,,5802,Ice cream and frozen dairy desserts,2,1 scoop,160
11460100,"Frozen yogurt, chocolate",,,5802,Ice cream and frozen dairy desserts,3,1 small ice cream cup,160
11460100,"Frozen yogurt, chocolate",,,5802,Ice cream and frozen dairy desserts,4,1 medium ice cream cup,320
11460100,"Frozen yogurt, chocolate",,,5802,Ice cream and frozen dairy desserts,5,1 large ice cream cup,480
11460100,"Frozen yogurt, chocolate",,,5802,Ice cream and frozen dairy desserts,6,Quantity not specified,175
11460500,"Frozen yogurt, soft serve, vanilla",,,5802,Ice cream and frozen dairy desserts,1,1 cup,175
11460500,"Frozen yogurt, soft serve, vanilla",,,5802,Ice cream and frozen dairy desserts,2,Quantity not specified,175
11460510,"Frozen yogurt, soft serve, chocolate",,,5802,Ice cream and frozen dairy desserts,1,1 cup,175
11460510,"Frozen yogurt, soft serve, chocolate",,,5802,Ice cream and frozen dairy desserts,2,Quantity not specified,175
11461200,Frozen yogurt sandwich,,,5802,Ice cream and frozen dairy desserts,1,1 sandwich,75
11461200,Frozen yogurt sandwich,,,5802,Ice cream and frozen dairy desserts,2,Quantity not specified,75
11461210,"Frozen yogurt bar, vanilla",,,5802,Ice cream and frozen dairy desserts,1,1 bar,65
11461210,"Frozen yogurt bar, vanilla",,,5802,Ice cream and frozen dairy desserts,2,Quantity not specified,65
11461220,"Frozen yogurt bar, chocolate",,,5802,Ice cream and frozen dairy desserts,1,1 bar,65
11461220,"Frozen yogurt bar, chocolate",,,5802,Ice cream and frozen dairy desserts,2,Quantity not specified,65
11461250,"Frozen yogurt cone, chocolate",,,5802,Ice cream and frozen dairy desserts,1,1 cone,125
11461250,"Frozen yogurt cone, chocolate",,,5802,Ice cream and frozen dairy desserts,2,Quantity not specified,125
11461260,"Frozen yogurt cone, vanilla",,,5802,Ice cream and frozen dairy desserts,1,1 cone,125
11461260,"Frozen yogurt cone, vanilla",,,5802,Ice cream and frozen dairy desserts,2,Quantity not specified,125
11461300,"Frozen yogurt cone, vanilla, waffle cone",,,5802,Ice cream and frozen dairy desserts,1,1 cone,255
11461300,"Frozen yogurt cone, vanilla, waffle cone",,,5802,Ice cream and frozen dairy desserts,2,Quantity not specified,255
11461320,"Frozen yogurt cone, chocolate, waffle cone",,,5802,Ice cream and frozen dairy desserts,1,1 cone,255
11461320,"Frozen yogurt cone, chocolate, waffle cone",,,5802,Ice cream and frozen dairy desserts,2,Quantity not specified,255
11480010,"Yogurt, whole milk, baby food",,,9010,Baby food: yogurt,1,1 container,113
11480010,"Yogurt, whole milk, baby food",,,9010,Baby food: yogurt,2,Quantity not specified,85
11480020,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",,,9010,Baby food: yogurt,1,1 container,113
11480020,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",,,9010,Baby food: yogurt,2,Quantity not specified,85
11480030,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",,,9010,Baby food: yogurt,1,1 container,113
11480030,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",,,9010,Baby food: yogurt,2,Quantity not specified,85
11480040,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",,,9010,Baby food: yogurt,1,1 container,113
11480040,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",,,9010,Baby food: yogurt,2,Quantity not specified,85
11511000,"Chocolate milk, NFS",,,1208,"Flavored milk, nonfat",1,1 cup,248
11511000,"Chocolate milk, NFS",,,1208,"Flavored milk, nonfat",2,1 fl oz,31
11511000,"Chocolate milk, NFS",,,1208,"Flavored milk, nonfat",3,Quantity not specified,248
11511000,"Chocolate milk, NFS",,,1208,"Flavored milk, nonfat",5,1 individual school container,248
11511100,"Chocolate milk, ready to drink, whole",,,1202,"Flavored milk, whole",1,1 cup,248
11511100,"Chocolate milk, ready to drink, whole",,,1202,"Flavored milk, whole",2,1 fl oz,31
11511100,"Chocolate milk, ready to drink, whole",,,1202,"Flavored milk, whole",3,Quantity not specified,248
11511100,"Chocolate milk, ready to drink, whole",,,1202,"Flavored milk, whole",5,1 individual school container,248
11511200,"Chocolate milk, ready to drink, reduced fat",,,1204,"Flavored milk, reduced fat",1,1 cup,248
11511200,"Chocolate milk, ready to drink, reduced fat",,,1204,"Flavored milk, reduced fat",2,1 fl oz,31
11511200,"Chocolate milk, ready to drink, reduced fat",,,1204,"Flavored milk, reduced fat",3,Quantity not specified,248
11511200,"Chocolate milk, ready to drink, reduced fat",,,1204,"Flavored milk, reduced fat",5,1 individual school container,248
11511300,"Chocolate milk, ready to drink, fat free",,,1208,"Flavored milk, nonfat",1,1 cup,248
11511300,"Chocolate milk, ready to drink, fat free",,,1208,"Flavored milk, nonfat",2,1 fl oz,31
11511300,"Chocolate milk, ready to drink, fat free",,,1208,"Flavored milk, nonfat",3,Quantity not specified,248
11511300,"Chocolate milk, ready to drink, fat free",,,1208,"Flavored milk, nonfat",5,1 individual school container,248
11511400,"Chocolate milk, ready to drink, low fat",,,1206,"Flavored milk, lowfat",1,1 fl oz,31
11511400,"Chocolate milk, ready to drink, low fat",,,1206,"Flavored milk, lowfat",2,1 cup,248
11511400,"Chocolate milk, ready to drink, low fat",,,1206,"Flavored milk, lowfat",3,1 individual school container,248
11511400,"Chocolate milk, ready to drink, low fat",,,1206,"Flavored milk, lowfat",4,Quantity not specified,248
11511550,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",,,1206,"Flavored milk, lowfat",1,1 cup,248
11511550,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",,,1206,"Flavored milk, lowfat",2,1 fl oz,31
11511550,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",,,1206,"Flavored milk, lowfat",3,Quantity not specified,248
11511600,"Chocolate milk, ready to drink, low fat (Nesquik)",,,1206,"Flavored milk, lowfat",1,1 cup,248
11511600,"Chocolate milk, ready to drink, low fat (Nesquik)",,,1206,"Flavored milk, lowfat",2,1 fl oz,31
11511600,"Chocolate milk, ready to drink, low fat (Nesquik)",,,1206,"Flavored milk, lowfat",3,Quantity not specified,248
11511610,"Chocolate milk, ready to drink, fat free (Nesquik)",,,1208,"Flavored milk, nonfat",1,1 cup,248
11511610,"Chocolate milk, ready to drink, fat free (Nesquik)",,,1208,"Flavored milk, nonfat",2,1 fl oz,31
11511610,"Chocolate milk, ready to drink, fat free (Nesquik)",,,1208,"Flavored milk, nonfat",3,Quantity not specified,248
11511700,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",,,1206,"Flavored milk, lowfat",1,1 cup,248
11511700,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",,,1206,"Flavored milk, lowfat",2,1 fl oz,31
11511700,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",,,1206,"Flavored milk, lowfat",3,Quantity not specified,248
11512010,"Hot chocolate / Cocoa, ready to drink",,,1204,"Flavored milk, reduced fat",1,1 cup,248
11512010,"Hot chocolate / Cocoa, ready to drink",,,1204,"Flavored milk, reduced fat",2,1 fl oz,31
11512010,"Hot chocolate / Cocoa, ready to drink",,,1204,"Flavored milk, reduced fat",3,Quantity not specified,248
11512020,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",,,1208,"Flavored milk, nonfat",1,1 cup,248
11512020,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",,,1208,"Flavored milk, nonfat",2,1 fl oz,31
11512020,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",,,1208,"Flavored milk, nonfat",3,Quantity not specified,248
11512030,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",,,1404,Milk substitutes,1,1 cup,248
11512030,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",,,1404,Milk substitutes,2,1 fl oz,31
11512030,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",,,1404,Milk substitutes,3,Quantity not specified,248
11512100,"Hot chocolate / Cocoa, ready to drink, with whipped cream",,,1204,"Flavored milk, reduced fat",1,1 cup,248
11512100,"Hot chocolate / Cocoa, ready to drink, with whipped cream",,,1204,"Flavored milk, reduced fat",2,1 fl oz,31
11512100,"Hot chocolate / Cocoa, ready to drink, with whipped cream",,,1204,"Flavored milk, reduced fat",3,Quantity not specified,248
11512110,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream",,,1208,"Flavored milk, nonfat",1,1 cup,248
11512110,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream",,,1208,"Flavored milk, nonfat",2,1 fl oz,31
